ID	ames	set	wfp1	wfp2	wfp3	wfp4	wfp5	wfp6	wfp7	wfp8	wfp9	wfp10	wfp11	wfp12	wfp13	wfp14	wfp15	wfp16	wfp17	wfp18	wfp19	wfp20	wfp21	wfp22	wfp23	wfp24	wfp25	wfp26	wfp27	wfp28	wfp29	wfp30	wfp31	wfp32	wfp33	wfp34	wfp35	wfp36	wfp37	wfp38	wfp39	wfp40	wfp41	wfp42	wfp43	wfp44	wfp45	wfp46	wfp47	wfp48	wfp49	wfp50	wfp51	wfp52	wfp53	wfp54	wfp55	wfp56	wfp57	wfp58	wfp59	wfp60	wfp61	wfp62	wfp63	wfp64	wfp65	wfp66	wfp67	wfp68	wfp69	wfp70	wfp71	wfp72	wfp73	wfp74	wfp75	wfp76	wfp77	wfp78	wfp79	wfp80	wfp81	wfp82	wfp83	wfp84	wfp85	wfp86	wfp87	wfp88	wfp89	wfp90	wfp91	wfp92	wfp93	wfp94	wfp95	wfp96	wfp97	wfp98	wfp99	wfp100	wfp101	wfp102	wfp103	wfp104	wfp105	wfp106	wfp107	wfp108	wfp109	wfp110	wfp111	wfp112	wfp113	wfp114	wfp115	wfp116	wfp117	wfp118	wfp119	wfp120	wfp121	wfp122	wfp123	wfp124
23	NA	ts	0	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1
24	NA	ts	0	0	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1
26	NA	ts	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1
27	NA	ts	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	0	1
31	NA	ts	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0
34	NA	ts	0	0	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	1
35	NA	ts	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	1
37	NA	ts	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	1
39	NA	ts	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1
40	NA	ts	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1
42	NA	ts	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	1
43	NA	ts	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1
49	NA	ts	0	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	1	0	1
51	NA	ts	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1
54	NA	ts	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	0	1
56	NA	ts	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1
61	NA	ts	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1
64	NA	ts	1	0	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	1
65	NA	ts	0	0	1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	1
66	NA	ts	0	0	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1
70	NA	ts	0	0	1	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1
71	NA	ts	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	0	0	1
76	NA	ts	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	1
79	NA	ts	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1
87	NA	ts	0	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1	0	1
88	NA	ts	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1
95	NA	ts	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1
103	NA	ts	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1
104	NA	ts	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	1
110	NA	ts	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1
113	NA	ts	0	0	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	0	1
115	NA	ts	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1
121	NA	ts	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1
122	NA	ts	0	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	0	1
125	NA	ts	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	0	0	1
129	NA	ts	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1
130	NA	ts	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1
137	NA	ts	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1
140	NA	ts	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	1
